brand,column_type,batch_id,test_id,plate_count_N,tailing_factor,resolution_Rs,back_pressure_bar,analyst,instrument,oos_reason,status
ACE,C18,ACE-C18-B06,T06,10340,1.055,4.1,192.4,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B06,T07,10913,1.079,4.0,187.5,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B06,T08,10170,1.121,4.5,190.3,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B06,T09,10068,0.979,4.95,183.0,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B06,T10,6292,1.11,4.2,175.6,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B06,T11,10170,1.095,4.07,195.1,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B07,T01,6677,1.058,4.56,165.6,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B07,T02,10392,0.987,4.85,164.3,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B07,T03,6533,1.019,4.43,170.7,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B07,T04,11292,1.034,4.67,178.9,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B07,T05,11292,1.028,4.38,169.8,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B07,T06,10063,1.021,4.84,185.4,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B07,T07,10679,0.896,4.57,194.4,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B07,T08,11780,0.956,4.44,170.5,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B07,T09,10670,0.904,4.39,181.2,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B07,T10,11590,1.079,4.11,178.2,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B08,T01,11275,0.944,4.42,189.3,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B08,T02,11394,0.852,4.73,190.8,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B08,T03,11539,0.806,4.41,202.1,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B08,T04,11416,0.981,4.64,190.2,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B08,T05,10905,0.921,4.86,185.2,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B08,T06,10912,0.984,4.86,181.7,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B08,T07,11498,0.751,4.37,192.6,Analyst_A,HPLC_02,tailing_factor<LSL,FAIL
ACE,C18,ACE-C18-B08,T08,10924,0.877,4.53,183.6,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B08,T09,11740,1.066,4.62,194.2,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B09,T01,11681,1.024,4.68,178.0,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B09,T02,11412,1.314,4.85,186.2,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B09,T03,11512,1.233,4.6,170.3,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B09,T04,11017,1.398,4.92,170.6,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B09,T05,10765,1.235,4.46,172.6,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B09,T06,11321,1.253,4.57,168.9,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B09,T07,11986,1.144,4.8,184.8,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B09,T08,11194,1.186,5.37,185.2,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B10,T01,11467,1.14,4.38,186.5,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B10,T02,11480,1.103,4.4,179.4,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B10,T03,11603,1.151,4.28,198.6,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B10,T04,11332,1.072,4.24,189.8,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B10,T05,10836,1.127,4.6,191.8,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B10,T06,6051,1.043,3.99,178.2,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B10,T07,11534,1.151,4.12,203.9,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B10,T08,10948,1.208,4.63,209.4,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B10,T09,11343,1.083,4.69,195.4,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B10,T10,11635,1.101,4.71,201.4,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B11,T01,10987,1.096,4.78,186.6,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B11,T02,10939,0.972,3.69,187.3,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B11,T03,11438,1.059,4.13,196.3,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B11,T04,10522,1.02,4.93,182.9,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B11,T05,10505,1.037,4.79,188.6,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B11,T06,11268,1.008,4.35,186.2,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B11,T07,10943,1.175,4.53,182.0,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B11,T08,11813,1.16,4.76,171.8,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B12,T01,10193,1.038,4.65,177.4,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B12,T02,10166,1.164,3.98,185.6,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B12,T03,10581,1.065,4.14,184.3,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B12,T04,10404,1.152,3.67,164.7,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B12,T05,10305,1.215,4.26,181.0,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B12,T06,10629,1.152,4.12,174.7,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B12,T07,10015,1.217,3.94,164.9,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B12,T08,10181,1.105,4.46,190.1,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B13,T01,11152,1.351,4.93,175.3,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B13,T02,11597,1.247,4.98,172.0,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B13,T03,10740,1.239,4.99,167.8,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B13,T04,11175,1.166,4.37,174.9,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B13,T05,10923,1.345,5.03,186.0,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B13,T06,10419,1.171,4.89,173.5,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B13,T07,10659,1.192,5.16,181.9,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B13,T08,11151,1.22,4.43,169.5,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B13,T09,11473,1.217,4.72,188.4,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B13,T10,10797,1.203,4.23,179.5,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B14,T01,11923,1.226,3.91,194.3,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B14,T02,11017,1.235,4.18,173.8,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B14,T03,11664,1.096,4.16,190.7,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B14,T04,11122,1.217,3.9,180.7,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B14,T05,11575,1.283,3.85,186.3,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B15,T01,9398,1.097,4.34,161.5,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B15,T02,9297,0.965,4.56,155.9,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B15,T03,10365,1.113,4.74,139.9,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B15,T04,9720,0.927,4.2,156.9,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B15,T05,9992,0.964,4.3,154.5,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B15,T06,9505,1.054,4.06,156.2,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B15,T07,9681,1.027,3.84,153.6,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B15,T08,9949,0.945,4.48,155.8,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B15,T09,9160,1.049,4.11,153.8,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B16,T01,10080,1.071,4.22,171.2,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B16,T02,10147,0.922,4.43,179.7,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B16,T03,10798,0.982,4.89,175.1,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B16,T04,11305,0.845,5.37,195.4,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B16,T05,11118,0.988,4.5,182.4,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B16,T06,6543,0.852,4.7,197.0,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B16,T07,10992,0.72,4.81,185.0,Analyst_A,HPLC_01,tailing_factor<LSL,FAIL
ACE,C18,ACE-C18-B16,T08,10746,0.892,4.67,161.8,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B16,T09,10291,0.967,4.54,184.3,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B16,T10,11052,1.05,4.57,174.2,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B17,T01,9557,0.996,4.67,167.9,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B17,T02,9780,1.002,4.39,156.0,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B17,T03,9726,1.019,3.91,174.9,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B17,T04,9497,0.982,3.71,165.8,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B17,T05,8895,1.002,3.94,172.5,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B17,T06,9731,1.014,4.72,173.3,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B17,T07,9654,0.987,4.36,164.4,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B17,T08,9429,0.871,5.1,162.2,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B17,T09,10389,1.126,4.59,175.6,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B17,T10,9237,0.967,4.75,157.1,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B17,T11,10242,0.899,4.64,172.2,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B18,T01,12278,1.274,4.16,173.9,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B18,T02,12815,1.359,3.68,169.2,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B18,T03,13434,1.151,3.85,158.0,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B18,T04,12672,1.105,3.46,188.6,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B18,T05,13645,1.129,3.38,176.4,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B19,T01,11857,1.092,4.61,178.6,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B19,T02,11866,1.121,5.15,168.1,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B19,T03,11508,1.176,4.98,184.4,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B19,T04,6996,1.227,5.1,184.1,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B19,T05,11051,1.125,4.67,167.4,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B19,T06,11503,1.09,4.53,164.6,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B19,T07,11541,1.096,5.04,186.1,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B19,T08,11492,1.159,5.31,173.1,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B20,T01,10577,1.079,4.64,187.4,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B20,T02,10462,1.134,4.59,193.4,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B20,T03,10847,0.98,4.51,193.8,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B20,T04,9995,1.139,4.25,182.6,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B20,T05,10461,1.298,4.94,197.6,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B20,T06,11334,1.106,4.83,192.0,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B20,T07,10876,1.177,5.02,196.4,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B21,T01,11715,1.1,5.09,159.3,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B21,T02,11453,1.119,4.47,179.3,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B21,T03,12331,1.261,4.52,195.2,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B21,T04,11858,1.141,4.33,186.1,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B21,T05,11605,1.097,4.67,181.2,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B21,T06,11535,1.257,4.8,181.1,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B21,T07,12338,1.237,4.73,191.0,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B21,T08,11886,1.195,4.42,184.1,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B21,T09,11520,1.117,4.83,189.6,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B22,T01,11507,1.237,4.66,171.1,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B22,T02,11316,1.238,4.9,169.8,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B22,T03,11099,1.286,5.19,132.7,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B22,T04,11266,1.257,4.7,167.2,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B22,T05,11171,1.249,4.46,176.8,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B23,T01,10677,1.278,4.41,166.1,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B23,T02,10208,1.166,3.93,164.8,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B23,T03,10368,1.25,3.93,166.3,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B23,T04,10749,1.295,4.08,181.0,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B23,T05,10868,1.294,4.41,171.3,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B24,T01,10735,1.092,5.4,180.6,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B24,T02,10915,1.237,4.87,182.5,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B24,T03,11025,1.186,5.21,188.5,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B24,T04,9965,1.251,4.9,165.1,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B24,T05,10208,1.14,5.52,186.3,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B24,T06,10946,1.261,5.68,201.3,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B24,T07,10926,1.156,5.04,196.1,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B24,T08,10401,1.133,5.15,182.4,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B24,T09,10999,1.116,5.26,177.1,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B24,T10,10039,1.101,5.61,167.5,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B25,T01,11355,1.068,4.83,183.3,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B25,T02,7225,0.872,4.67,173.1,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B25,T03,12090,1.058,4.53,165.6,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B25,T04,11437,0.974,4.67,164.2,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B25,T05,11352,0.943,5.07,167.5,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B25,T06,10959,0.891,4.46,181.0,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B25,T07,11370,1.085,4.83,176.3,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B25,T08,12412,0.951,4.72,180.9,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B26,T01,10623,0.974,4.7,186.2,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B26,T02,10505,1.067,4.7,176.1,Analyst_A,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B26,T03,10778,0.91,4.37,193.3,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B26,T04,10335,1.066,4.82,201.2,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B26,T05,10110,1.093,4.41,190.5,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B26,T06,10293,0.986,4.54,195.1,Analyst_C,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B27,T01,12481,1.119,4.84,191.1,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B27,T02,11928,1.205,4.73,181.7,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B27,T03,12566,1.047,5.04,187.0,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B27,T04,12649,1.136,4.59,216.8,Analyst_A,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B27,T05,12045,1.141,4.79,178.0,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B27,T06,12464,1.176,4.8,197.5,Analyst_C,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B28,T01,12281,1.118,4.56,183.7,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B28,T02,12350,1.013,5.14,172.7,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B28,T03,12886,1.263,4.06,185.9,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B28,T04,12218,1.215,4.38,181.3,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B28,T05,11854,1.205,4.6,176.3,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B28,T06,12531,1.124,3.98,176.9,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B29,T01,13465,1.11,4.23,166.8,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B29,T02,12937,0.99,4.24,170.1,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B29,T03,13048,1.089,4.04,177.5,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B29,T04,12970,1.041,3.91,175.1,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B29,T05,13247,1.19,4.4,177.7,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B30,T01,10851,0.945,5.05,158.7,Analyst_B,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B30,T02,5970,0.833,4.93,153.3,Analyst_C,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B30,T03,6199,0.904,5.2,166.9,Analyst_B,HPLC_03,PASS,PASS
ACE,C18,ACE-C18-B30,T04,10421,0.97,5.42,156.7,Analyst_A,HPLC_01,PASS,PASS
ACE,C18,ACE-C18-B30,T05,10595,0.909,5.24,161.1,Analyst_B,HPLC_02,PASS,PASS
ACE,C18,ACE-C18-B30,T06,10498,1.027,5.4,169.5,Analyst_B,HPLC_01,PASS,PASS
ACE,C8,ACE-C8-B01,T01,7692,1.022,4.57,174.2,Analyst_A,HPLC_01,PASS,PASS
ACE,C8,ACE-C8-B01,T02,11839,1.033,4.39,186.3,Analyst_B,HPLC_03,PASS,PASS
ACE,C8,ACE-C8-B01,T03,12455,1.098,4.56,168.7,Analyst_C,HPLC_03,PASS,PASS
ACE,C8,ACE-C8-B01,T04,11802,1.046,4.58,167.8,Analyst_A,HPLC_02,PASS,PASS
ACE,C8,ACE-C8-B01,T05,12117,1.059,4.5,172.3,Analyst_A,HPLC_03,PASS,PASS
ACE,C8,ACE-C8-B01,T06,6950,1.082,4.81,191.0,Analyst_C,HPLC_02,PASS,PASS
ACE,C8,ACE-C8-B01,T07,11593,1.156,4.83,189.4,Analyst_C,HPLC_03,PASS,PASS
ACE,C8,ACE-C8-B02,T01,13609,1.141,3.91,184.9,Analyst_A,HPLC_01,PASS,PASS
ACE,C8,ACE-C8-B02,T02,12700,1.248,3.91,192.7,Analyst_C,HPLC_01,PASS,PASS
